Nombre;Sexe;Annee;Prenoms;Nombre total cumule par annee
110;M;2006;Benjamin;110
19;F;2006;Bintou;19
8;M;2006;Brieuc;8
12;M;2006;Cédric;12
41;M;2006;Côme;41
17;M;2006;Dan;17
5;M;2006;Daouda;5
42;M;2006;Elie;42
11;F;2006;Eline;11
7;M;2006;Émile;7
7;F;2006;Emilia;7
8;M;2006;Eytan;8
12;F;2006;Fatima;12
12;M;2006;Gaétan;12
7;M;2006;Gary;7
5;F;2006;Goundo;5
31;M;2006;Hadrien;31
5;F;2006;Ilyana;5
26;M;2006;Isaac;26
5;M;2006;Jibril;5
5;M;2011;Yahya;5
36;M;2012;Adem;36
5;F;2012;Adja;5
16;F;2012;Adriana;16
14;M;2012;Albert;14
7;M;2012;Alessio;7
218;M;2012;Alexandre;218
5;F;2012;Alycia;5
5;F;2012;Annaëlle;5
22;M;2012;Anthony;22
44;M;2012;Antonin;44
88;M;2012;Benjamin;88
14;F;2012;Charline;14
114;F;2012;Charlotte;114
5;F;2012;Cindy;5
47;M;2012;Daniel;47
13;F;2012;Diana;13
32;M;2012;Diego;32
6;F;2012;Eléanor;6
6;F;2012;Emmie;6
13;F;2012;Emna;13
16;F;2012;Estelle;16
8;M;2012;Eyal;8
